Model Name,MAE,MSE,Accuracy with tolerance 15 (%),embedding_dim,conv1D_1_filters,conv1D_1_kernel,pool_size,dense_units,dropout
Model 1,22.06307029724121,950.5603637695312,48.17307692307693,10,64,9,2,32,0.4
Model 2,22.81020164489746,1014.2738037109376,44.51923076923077,10,64,9,0,32,0.0
Model 3,23.583459854125977,1128.512939453125,44.13461538461539,10,64,21,2,32,0.4
Model 4,28.01927947998047,1690.0518798828125,38.46153846153847,10,64,101,2,32,0.4
Model 5,21.88579368591309,1028.7349853515625,47.98076923076923,10,256,9,2,32,0.4
Model 6,22.424903869628903,898.8380737304688,42.69230769230769,10,64,9,2,256,0.4
Model 7,22.706443786621094,1007.537841796875,46.63461538461539,10,64,9,2,32,0.6
Model 8,21.387081146240234,918.3646240234376,48.36538461538461,10,64,9,2,32,0.8
Model 9,40.71881866455078,2948.271728515625,20.48076923076923,10,256,101,2,256,0.8
Model 10,32.127166748046875,2087.92578125,35.24752475247524,10,256,9,2,320,0.4
Model 11,36.622825622558594,2927.973388671875,29.504950495049503,10,256,9,2,32,0.4
Model 12,34.6727294921875,2323.478759765625,27.12871287128713,10,256,9,2,640,0.4
Model 13,77.11827850341797,14406.6865234375,14.257425742574256,10,64,9,2,64,0.4
